1,2,3,4,5,6,7,8,9,10,11,start,end,code,biao
3,6,9,11,13,15,17,21,23,27,33,0,-6,8a4otv31,1
3,6,9,11,13,15,18,21,24,27,31,0,-25,y0q2jnsm,1
3,6,9,11,13,15,18,21,26,27,32,0,-64.5,qrj0woux,1
3,6,9,11,13,15,18,21,25,27,35,0,-48,dnwj15ee,1
3,6,9,11,13,15,18,21,25,27,35,0,-42,9i73mzxn,1
3,6,9,11,13,15,19,21,24,27,35,0,-37.5,zuqpu1wo,1
3,6,9,11,13,15,18,21,24,27,31,0,-25,uvakwdur,1
3,6,9,11,13,15,18,21,24,27,35,0,-21,4uuf90e3,1
3,6,9,11,13,15,17,21,25,27,35,0,-44.5,sqajrww1,1
3,6,9,11,13,15,20,21,25,27,35,0,-39,otvnb5te,1
3,6,9,11,13,15,18,21,24,27,35,0,-35,xcoc0hf4,1
3,6,9,11,13,15,20,21,24,27,34,0,-34,kn4swjew,1
3,6,9,11,13,15,18,21,24,27,30,0,-30,qyyocas4,1
3,6,9,11,13,15,18,21,26,27,35,0,-66,dz4i0852,1
3,6,9,11,13,15,17,21,26,27,31,0,-53.5,biqw1l36,1
3,6,9,11,13,15,18,21,25,27,34,0,-43,b0je0mwr,1
3,6,9,11,13,15,18,21,25,27,34,0,-36,z873r4vo,1
3,6,9,11,13,15,18,21,24,27,32,0,-32.5,8g2iaxf0,1
3,6,9,11,13,15,18,21,24,27,31,0,-28,8cyh64c7,1
3,6,9,11,13,15,18,21,24,27,31,0,-27,v6of81mc,1
3,6,9,11,13,15,17,21,24,27,35,0,-23,9pofl3q7,1
3,6,9,11,13,15,19,21,23,27,31,0,-22,i6lqx8ts,1
3,6,9,11,13,15,17,21,24,27,35,0,-18.5,e4uy9bw2,1
3,6,9,11,13,15,18,21,23,27,35,0,-17,6xnpwopr,1
3,6,9,11,13,15,19,21,26,27,35,0,-73,11qpbunz,1
3,6,9,11,13,15,17,21,26,27,31,0,-59.5,m0rj3925,1
3,6,9,11,13,15,18,21,25,27,35,0,-40,3vpcaply,1
3,6,9,11,13,15,20,21,24,27,31,0,-39,1qzlh5mu,1
3,6,9,11,13,15,17,21,25,27,35,0,-38,nxlvuopa,1
3,6,9,11,13,15,19,21,25,27,35,0,-32,ttjy4cwz,1
3,6,9,11,13,15,17,21,25,27,35,0,-27,ot3r1xw1,1
3,6,9,11,13,15,19,21,24,27,35,0,-25.5,jicuopmz,1
3,6,9,11,13,15,17,21,24,27,35,0,-23,5kkr5060,1
3,6,9,11,13,15,18,21,24,27,31,0,-20.5,ody1m92z,1
3,6,9,11,13,15,17,21,24,27,30,0,-18.5,i3wgnab9,1
3,6,9,11,13,15,17,21,24,27,30,0,-13.5,i3ugntg2,1
3,6,9,11,13,15,18,21,24,27,35,0,-7,zzpnlqei,1
3,6,9,11,13,15,17,21,24,27,35,0,-3,4c16txm9,1
3,6,9,11,13,15,17,21,23,27,30,0,-3,o73qrv2n,1
3,6,9,11,13,15,17,21,24,27,33,0,-3,bysqs2ac,1
3,6,9,11,13,15,20,21,26,27,35,0,-70,n26lbqa5,1
3,6,9,11,13,15,19,21,25,27,30,0,-47,d39a3neo,1
3,6,9,11,13,15,20,21,25,27,33,0,-43,3zjizqly,1
3,6,9,11,13,15,19,21,24,27,32,0,-33,7u0jmbd5,1
3,6,9,11,13,15,18,21,25,27,35,0,-32.5,j1e40ha7,1
3,6,9,11,13,15,18,21,25,27,35,0,-30,3mrhtpe3,1
3,6,9,11,13,15,17,21,25,27,33,0,-28,1pxzy631,1
3,6,9,11,13,15,17,21,25,27,30,0,-28,odyzp5vx,1
3,6,9,11,13,15,18,21,24,27,35,0,-25,0cpchq58,1
3,6,9,11,13,15,17,21,25,27,35,0,-24.5,mvvdc51v,1
3,6,9,11,13,15,19,21,24,27,35,0,-24,0h6a0xq8,1
3,6,9,11,13,15,18,21,24,27,30,0,-23,cn2055xk,1
3,6,9,11,13,15,18,21,24,27,35,0,-22,yl8zd4ee,1
3,6,9,11,13,15,18,21,24,27,35,0,-22,nxc2bm09,1
3,6,9,11,13,15,18,21,24,27,31,0,-18,0nu0s221,1
3,6,9,11,13,15,18,21,24,27,35,0,-17.5,7dv78fh8,1
3,6,9,11,13,15,17,21,24,27,33,0,-16.5,l3hb9yeg,1
3,6,9,11,13,15,18,21,24,27,35,0,-15.5,qdpt3asx,1
3,6,9,11,13,15,17,21,24,27,35,0,-15.5,jyf560kk,1
3,6,9,11,13,15,17,21,23,27,31,0,-10,1gpsk1od,1
3,6,9,11,13,15,18,21,24,27,32,0,-10,o7pqerl1,1
3,6,9,11,13,15,17,21,24,27,31,0,-8,92ybpwat,1
3,6,9,11,13,15,17,21,23,27,33,0,-7,519slsew,1
3,6,9,11,13,15,18,21,23,27,34,0,-3,n9hxv5lk,1
3,6,9,11,13,15,17,21,23,27,34,0,-3,my8o7lk6,1
3,6,9,11,13,15,19,21,23,27,35,0,6,rv0au94i,1
3,6,9,11,13,15,20,21,26,27,35,0,-68,wak4ycex,1
3,6,9,11,13,15,18,21,26,27,29,0,-62,6l4hmpzv,1
3,6,9,11,13,15,18,21,26,27,31,0,-58.5,t30mf55p,1
3,6,9,11,13,15,19,21,26,27,35,0,-57.5,g84r969y,1
3,6,9,11,13,15,20,21,26,27,31,0,-51,vedi2q2d,1
3,6,9,11,13,15,17,21,26,27,33,0,-45,hogk0jl9,1
3,6,9,11,13,15,19,21,25,27,35,0,-42,410e0tw2,1
3,6,9,11,13,15,19,21,25,27,35,0,-38,unioj1gy,1
3,6,9,11,13,15,20,21,25,27,34,0,-35,edydbr11,1
3,6,9,11,13,15,20,21,24,27,31,0,-33,9cikjguk,1
3,6,9,11,13,15,19,21,24,27,33,0,-32,tgyt0okw,1
