code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit,cash_before_patience,patience_profit,realend,realprofit
g7uoijja,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,4,0,5,0,-10,-10,-15,5,-10,-10
8g2iaxf0,1,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,3,3.5,1,0,0,-32.5,-32.5,-32.5,0,-32.5,-32.5
1yemb6kz,1,0,9,1,-5,0,0,1,2.4,1,0.12,1,1,1,-0.752,1,-1,0,0,1,-7,2,12,1,0,0,10.77,10.77,10.77,0,10.77,10.77
x6cv314a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-30,1,4.5,0,5,0,-20.5,-20.5,-25.5,5,-20.5,-20.5
26ovv9nz,1,0,9,1,-5,0,0,1,0.08,1,0.3,1,3,1,-0.738,1,-1,0,0,1,-7,2,12,1,0,0,10.64,10.64,10.64,0,10.64,10.64
qrj0woux,1,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,3,-50,3,12.5,1,0,0,-64.5,-64.5,-64.5,0,-64.5,-64.5
edydbr11,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-15,2,-30,5,16,1,0,0,-35,-35,-35,0,-35,-35
i3ugntg2,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,9.5,0,5,0,-13.5,-13.5,-18.5,5,-13.5,-13.5
nil7z8nt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,1,4.5,1,0,0,-26.5,-26.5,-26.5,0,-26.5,-26.5
i3wgnab9,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,4.5,0,5,0,-18.5,-18.5,-23.5,5,-18.5,-18.5
7rmwik5s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,4,15,0,5,0,19,19,14,5,19,19
mzj836b0,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,20,1,0,0,1,1,1,0,1,1
1gblxsq7,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,6,0,1,0,0,-11,-11,-11,0,-11,-11
t9m6tgki,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,1,9.5,1,0,0,-22.5,-22.5,-22.5,0,-22.5,-22.5
4hjk8ew7,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,4.5,1,0,0,-14.5,-14.5,-14.5,0,-14.5,-14.5
luq8s82b,1,0,6,1,-5,0,0,1,0.2,1,-0.06,1,0.57,1,-0.171,1,-0.2,0,0,1,-7,1,4.5,0,5,0,3.84,3.84,-1.16,5,3.84,3.84
96b2y1fq,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,3,12.5,1,0,0,-10.5,-10.5,-10.5,0,-10.5,-10.5
iuy2mq1n,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,2,4,0,5,0,-37,-37,-42,5,-37,-37
zca7zxyf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,2,4,1,0,0,-17,-17,-17,0,-17,-17
jj2wn94h,1,0,6,1,-5,0,0,1,0.6,1,0.15,1,-1,1,-0.075,1,-0.5,0,0,0,0,1,9.5,0,5,0,14.68,14.68,9.68,5,14.68,14.68
68araqh7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,12,1,0,0,-4,-4,-4,0,-4,-4
zzpnlqei,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,20,0,5,0,-7,-7,-12,5,-7,-7
v5p7lv20,1,0,15,1,-5,0,0,1,6,1,-0.8,1,5,1,-2.02,1,-1,0,0,1,-7,2,12,0,5,0,27.18,27.18,22.18,5,27.18,27.18
11qpbunz,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,3,-50,6,0,1,0,0,-73,-73,-73,0,-73,-73
yaiqosbx,1,0,12,1,-5,0,0,0,0,1,0.45,0,0,1,-0.745,1,-0.05,0,0,1,-7,3,3.5,1,0,0,3.16,3.16,3.16,0,3.16,3.16
xp91b3qj,1,0,12,1,-5,0,0,1,2.1,1,0.6,1,-2,1,-0.77,1,-2,0,0,1,-7,1,9.5,1,0,0,7.43,7.43,7.43,0,7.43,7.43
9t4dpmrw,1,0,3,0,0,0,0,0,0,1,0.45,1,-3.45,0,0,0,0,1,0,0,0,6,20,0,5,0,25,25,20,5,25,25
i6lqx8ts,1,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,2,4,1,0,0,-22,-22,-22,0,-22,-22
sqfmjhqp,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,1,9.5,0,5,0,5.5,5.5,0.5,5,5.5,5.5
5kkr5060,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,0,5,0,-23,-23,-28,5,-23,-23
g7uoijja,2,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,3,10,1,0,-10,-46,-36,-46,0,-46,-36
8g2iaxf0,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,1,-15,2,9.6,0,11.8,-32.5,-39.1,-6.6,-50.9,11.8,-39.1,-6.6
1yemb6kz,2,0,15,1,-5,1,-2.64,0,0,1,0.3,1,-2.5,1,-1.593,1,-1,0,0,2,-21,4,2.4,1,7,10.77,1.74,-9.03,-5.26,7,1.74,-9.03
x6cv314a,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,16,1,0,-20.5,-27.5,-7,-27.5,0,-27.5,-7
26ovv9nz,2,0,-30,0,0,1,-0.088,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,2,3.2,1,6.6,10.64,-24.65,-35.29,-31.25,6.6,-24.65,-35.29
qrj0woux,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,0,0,2,9.6,1,6.8,-64.5,-58.1,6.4,-64.9,6.8,-58.1,6.4
edydbr11,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,6,0,1,6,-35,-41,-6,-47,6,-41,-6
i3ugntg2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,2,9.6,0,5,-13.5,-26.9,-13.4,-31.9,5,-26.9,-13.4
nil7z8nt,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,2,9.6,0,10.4,-26.5,-6.5,20,-16.9,10.4,-6.5,20
i3wgnab9,2,0,15,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,3,-50,5,12.8,1,0,-18.5,-41.7,-23.2,-41.7,0,-41.7,-23.2
7rmwik5s,2,0,9,1,-5,0,0,1,4.6,1,1.5,1,7.5,1,-3.66,1,-1,0,0,2,-21,5,12.8,1,0,19,23.74,4.74,23.74,0,23.74,4.74
mzj836b0,2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,1,6.4,1,-14.6,-15.6,-21,6.4,-14.6,-15.6
1gblxsq7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,0,0,6,16,0,11.6,-11,15.6,26.6,4,11.6,15.6,26.6
t9m6tgki,2,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,3,2.8,1,7,-22.5,-49.7,-27.2,-56.7,7,-49.7,-27.2
4hjk8ew7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,16,0,11.8,-14.5,6.3,20.8,-5.5,11.8,6.3,20.8
luq8s82b,2,0,9,1,-5,1,-0.22,1,0.76,1,0.42,1,8.8,1,-1.76,1,-0.01,0,0,1,-7,2,9.6,1,0,3.84,18.43,14.59,18.43,0,18.43,14.59
96b2y1fq,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,0,0,12,-10.5,-2.5,8,-14.5,12,-2.5,8
iuy2mq1n,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,1,0,-37,-35,2,-35,0,-35,2
zca7zxyf,2,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,1,3.6,0,11.6,-17,-77.8,-60.8,-89.4,11.6,-77.8,-60.8
jj2wn94h,2,0,21,1,-5,1,-0.66,1,3,1,-0.3,1,3,1,-3.572,1,-1,0,0,3,-35,1,7.6,1,0,14.68,3.75,-10.93,3.75,0,3.75,-10.93
68araqh7,2,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,2,3.2,0,11,-4,-40.8,-36.8,-51.8,11,-40.8,-36.8
zzpnlqei,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,1,-15,6,16,0,5,-7,-11,-4,-16,5,-11,-4
v5p7lv20,2,0,24,2,-10,0,0,1,14.15,1,5.53,1,45,1,-10.586,1,-1,0,0,1,-5,2,3.2,0,5,27.18,97.47,70.29,92.47,5,97.47,70.29
