code,z,t,s,r
g7uoijja,1,0,0,0
8g2iaxf0,1,0,0,1
1yemb6kz,1,0,0,1
x6cv314a,0,0,0,0
26ovv9nz,1,0,0,1
qrj0woux,0,0,0,0
edydbr11,1,1,1,0
i3ugntg2,1,1,0,0
nil7z8nt,1,1,0,0
i3wgnab9,1,1,0,0
7rmwik5s,1,0,0,1
mzj836b0,1,0,0,0
1gblxsq7,0,0,1,1
t9m6tgki,1,0,0,0
4hjk8ew7,1,0,0,1
luq8s82b,1,0,0,1
96b2y1fq,1,0,0,0
iuy2mq1n,1,0,0,1
zca7zxyf,1,1,0,0
jj2wn94h,1,0,0,1
68araqh7,1,0,0,1
zzpnlqei,1,0,0,1
v5p7lv20,1,0,0,1
11qpbunz,1,0,0,0
yaiqosbx,1,1,0,1
xp91b3qj,1,0,0,0
9t4dpmrw,0,0,1,0
i6lqx8ts,1,0,0,0
sqfmjhqp,0,0,0,0
5kkr5060,1,1,0,0
vywegvat,1,0,0,0
yl8zd4ee,1,0,0,0
wak4ycex,1,0,0,0
5zc86wny,1,0,0,1
zuqpu1wo,1,0,0,0
mvvdc51v,1,0,0,1
pr11yrv8,0,0,1,0
tzn75yhk,1,1,1,0
d39a3neo,1,0,0,0
xcoc0hf4,1,0,0,0
sqajrww1,1,0,0,0
y7ezhr8w,1,0,0,0
nn97tpch,1,0,0,0
1v3nqxwb,1,0,0,0
czeeddwe,1,0,0,1
7dv78fh8,0,0,0,0
dz4i0852,1,0,0,0
ds12f176,0,0,0,0
7u0jmbd5,1,0,0,0
otvnb5te,1,0,0,0
apblb506,1,0,0,1
9pofl3q7,1,0,0,0
9iua8wlt,1,1,0,0
4uuf90e3,1,0,1,0
v74p7xt0,1,0,0,1
mykpue2n,1,1,0,0
6e0ikkw9,1,0,0,1
hksrzrsd,1,0,0,1
e4uy9bw2,1,0,0,0
ufku1mka,1,0,0,0
ttjy4cwz,1,0,0,1
idr031u6,1,0,0,1
s1ftoyto,1,0,0,1
519slsew,1,0,0,0
8tid5gfd,1,0,1,1
keqepf0m,1,0,1,1
387fhffi,1,0,1,1
scbb77jn,1,1,0,1
9t5yap6j,1,0,0,1
g91ye1x3,1,1,0,1
fkw475f4,1,1,1,0
t7uhl32a,1,0,1,0
1gpsk1od,1,0,0,1
6l4hmpzv,1,1,0,1
4c16txm9,1,0,0,1
4de7ayta,1,0,0,1
o7pqerl1,0,1,1,1
7voc4ywi,1,0,0,1
4qo41x6y,1,0,1,0
g004gng8,1,1,0,1
mdt16lqz,1,0,1,0
przvq4kq,1,0,0,1
c1h7bw1a,1,0,1,0
51cbn7o1,1,1,0,0
h3fu78yg,1,0,0,0
gn1bxo37,1,0,0,1
qdpt3asx,1,0,0,1
lrqw3xla,1,0,0,1
4alcifnr,0,0,0,1
itjzqni7,1,0,0,1
zm1faos5,1,0,0,1
u1m4seev,1,1,1,1
48l4ehb6,1,0,0,1
dqtauj4v,1,1,0,1
8uqq7nj7,1,0,0,1
l50to787,1,0,0,1
1pxzy631,0,0,1,1
fxz8rqvu,0,0,0,0
drsd3gfr,1,0,0,0
0nu0s221,1,0,0,0
njz0vu08,1,0,0,0
x6n7t8hs,1,0,0,1
xxrcf92l,1,0,1,1
kibuds7n,1,0,1,0
uabw3inx,1,0,0,0
0cpchq58,1,0,0,1
ssewy7zs,1,0,0,1
kd4ugm89,0,0,0,1
dxl7j2a8,1,1,1,0
kudii6oy,1,0,0,1
j1e40ha7,0,0,0,0
6xnpwopr,0,0,0,0
0jkf3488,1,1,0,1
074xligf,1,0,0,1
bi13mblu,1,0,0,1
nxc2bm09,1,0,0,0
nq2n4d1a,1,0,0,1
8nmazok9,1,0,1,1
k1bp6zpx,1,1,0,1
n580gnmu,1,0,0,0
0j3nkqts,1,1,1,1
lcruc2lq,1,0,1,1
11e94pe7,1,1,0,1
ubop1qmx,1,0,0,1
z2rsp6um,1,0,0,1
