a,b,profit,start
"[10.0, 11.0, 14.0, 16.0, 17.0, 21.0, 27.0]",1430,0.322018156,107.8306006
"[7.0, 10.0, 14.0, 16.0, 17.0, 21.0, 27.0]",1762,-3.18262202,84.79957435
"[6.0, 9.0, 11.0, 13.0, 15.0, 21.0, 27.0]",2554,-4.310364135,-88.81507439
"[6.0, 9.0, 11.0, 13.0, 15.0, 21.0, 24.0]",1422,-5.600189873,-86.73903657
"[5.0, 10.0, 14.0, 16.0, 17.0, 21.0, 27.0]",1560,-2.82672043,128.9976805
"[11.0, 14.0, 16.0, 17.0, 21.0, 27.0]",1432,0.33444212,107.6805927
"[11.0, 13.0, 15.0, 21.0, 24.0, 27.0]",1380,0.423956522,-90.46915942
"[10.0, 14.0, 17.0, 21.0, 24.0, 27.0]",1322,1.51209531,93.51449319
"[10.0, 14.0, 16.0, 17.0, 21.0, 27.0]",2500,-2.704642143,93.36221911
"[10.0, 14.0, 16.0, 17.0, 21.0, 24.0]",1309,0.024262796,98.76164248
"[10.0, 11.0, 16.0, 17.0, 21.0, 27.0]",1453,0.460302613,106.4750344
"[10.0, 11.0, 14.0, 17.0, 21.0, 27.0]",1547,0.031070968,105.0899677
"[10.0, 11.0, 14.0, 16.0, 21.0, 27.0]",1430,0.322018156,107.8306006
"[10.0, 11.0, 14.0, 16.0, 17.0, 27.0]",1437,0.746358582,107.5491522
"[10.0, 11.0, 14.0, 16.0, 17.0, 21.0]",1532,-2.202307692,109.6419752
"[9.0, 11.0, 13.0, 15.0, 21.0, 27.0]",2569,-4.328859478,-88.28747373
"[9.0, 11.0, 13.0, 15.0, 21.0, 24.0]",1430,-5.608426573,-86.24053846
"[7.0, 14.0, 16.0, 17.0, 21.0, 27.0]",1764,-3.188571429,84.70641156
"[7.0, 10.0, 16.0, 17.0, 21.0, 27.0]",1780,-3.014685393,84.06628652
"[7.0, 10.0, 14.0, 17.0, 21.0, 27.0]",1885,-3.266403183,83.745687
"[7.0, 10.0, 14.0, 16.0, 21.0, 27.0]",1762,-3.202484402,84.75714691
"[7.0, 10.0, 14.0, 16.0, 17.0, 27.0]",1772,-2.334920993,84.61810384
"[7.0, 10.0, 14.0, 16.0, 17.0, 21.0]",1857,-5.65900377,86.52657512
"[6.0, 11.0, 13.0, 15.0, 21.0, 27.0]",2555,-4.289894366,-88.76388889
"[6.0, 11.0, 13.0, 15.0, 21.0, 24.0]",1424,-5.61440309,-86.60078652
"[6.0, 9.0, 13.0, 15.0, 21.0, 27.0]",2554,-4.310364135,-88.81507439
"[6.0, 9.0, 13.0, 15.0, 21.0, 24.0]",1422,-5.600189873,-86.73903657
"[6.0, 9.0, 11.0, 15.0, 21.0, 27.0]",2554,-4.310364135,-88.81507439
"[6.0, 9.0, 11.0, 15.0, 21.0, 24.0]",1422,-5.600189873,-86.73903657
"[6.0, 9.0, 11.0, 13.0, 21.0, 27.0]",2555,-4.313373777,-88.78579256
"[6.0, 9.0, 11.0, 13.0, 21.0, 24.0]",1422,-5.600189873,-86.73903657
"[6.0, 9.0, 11.0, 13.0, 15.0, 27.0]",2572,-3.899195179,-88.9670451
"[6.0, 9.0, 11.0, 13.0, 15.0, 24.0]",1435,-5.04087108,-87.07891986
"[6.0, 9.0, 11.0, 13.0, 15.0, 21.0]",2895,-8.749944732,-86.01499136
"[5.0, 14.0, 16.0, 17.0, 21.0, 27.0]",1561,-2.812624712,128.8919724
"[5.0, 10.0, 16.0, 17.0, 21.0, 27.0]",1582,-2.648219178,127.8958447
"[5.0, 10.0, 14.0, 17.0, 21.0, 27.0]",1649,-2.427048941,126.6228196
"[5.0, 10.0, 14.0, 16.0, 21.0, 27.0]",1560,-2.82672043,128.9976805
"[5.0, 10.0, 14.0, 16.0, 17.0, 27.0]",1569,-1.843491215,128.6051413
"[5.0, 10.0, 14.0, 16.0, 17.0, 21.0]",1560,-2.82672043,128.9976805
"[14.0, 17.0, 21.0, 24.0, 27.0]",1324,1.520339879,93.36663142
"[14.0, 16.0, 17.0, 21.0, 27.0]",2504,-2.706526946,93.21894611
"[14.0, 16.0, 17.0, 21.0, 24.0]",1311,0.034858886,98.60430969
"[13.0, 15.0, 21.0, 24.0, 27.0]",1382,0.434732272,-90.33823444
"[11.0, 17.0, 21.0, 24.0, 27.0]",1313,4.602290715,22.18686454
"[11.0, 16.0, 17.0, 21.0, 27.0]",1456,0.466060398,106.2628277
"[11.0, 15.0, 21.0, 24.0, 27.0]",1443,0.459175329,-83.4292377
